ReportingPlant,Licensee,Jul.Sep.2018,Oct.Dec.2018,Jan.Mar.2019,Apr.Jun.2019,2018
"The Andersons, Inc.",F002091,206.4,275.66,206.72,156.07,844.85
The Hawthorne Gardening Company,F002153,5.61,2.32,144.12,60.77,212.82
"The Organic Mechanics Soil Company, LLC",F002533,,14,19,21,54
"The Sanctuary, Inc.",F001386,,14,,32,46
THE SCOTTS COMPANY,F000643,"2,671.78","2,582.44","6,984.43","3,668.68","15,907.33"
This Land Inc.,F002690,,,,1.9,1.9
"TIMAC AGRO USA, INC.",F001550,41,40,155,56,292
T-NOU NV,F001708,5.58,1.56,2.18,1.6,10.92
"Tower Garden, LLC",F002004,6.25,6.86,7.17,8.88,29.16
"Tranlin, Inc.",F002535,,,2.97,,2.97
TRIANGLE CHEMICAL COMPANY,F001486,328,146,301,275,"1,050.00"
Tribus Microbes,F002641,,,,0.5,0.5
True Algae,F002635,,14.77,9.7,9.48,33.95
"True Organic Products, Inc.",F002192,48,91,,24.35,163.35
TURF AID LLC,F002644,0.5,0.5,6.5,10,17.5
TURF CARE SUPPLY CORP,F001612,571,"1,069.00","1,106.00",,"2,746.00"
TURF CARE SUPPLY CORP.,F001595,262,472,807,,"1,541.00"
"TURFGRASS MANAGMENT, INC. DBA GRIGG BROS",F001194,49.59,81.07,62.26,8.95,201.87
"U.S. AG, LLC",F001685,,26,,,26
"UAS of America, Inc.",F001142,9.47,5.57,11.74,12.55,39.33
"UNCO INDUSTRIES, INC.",F001006,,3,9,2,14
"UNITED COMPOST AND ORGANICS, INC.",F001260,228,214.45,483,339.02,"1,264.47"
United Fertilizer Technologies LLC,F002058,3,,,1,4
UNITED STATES GYPSUM COMPANY,F000768,"26,741.64","1,129.71","2,735.26","2,070.77","32,677.38"
"Valagro USA, Inc.",F001873,30,,,,30
,F002574,,,108,23,131
Van Iperen International BV,F002608,,19.6,,40,59.6
Verdesian Life Sciences,F002331,40,173,30,42,285
Vermicrop Organics,F002313,11.55,,,,11.55
Vigiron,F001151,789.42,"1,361.79","1,600.62","3,904.52","7,656.35"
"Vivid Life Sciences, LLC",F002511,,9.56,2.14,,11.7
"Vogel Seed & Fertilizer, Inc",F002259,,25,66,,91
"VOLUNTARY PURCHASING GROUPS, INC.",F000370,152,239,224,142,757
"WAUKEENAH FERTILIZER & FARM SUPPLY, INC.",F001607,967.12,"1,538.16","1,181.17","2,429.56","6,116.01"
WEDGWORTH INC,F001622,"30,646.81","67,695.97","77,380.82","59,686.37","235,409.97"
Wedgworth's Inc.,F002500,14.13,27.88,100.55,67.59,210.15
,F002540,130.65,248.52,283.73,146.9,809.8
"Wedgworth's, Inc",F000538,"13,202.03","14,955.70","12,279.30","25,453.38","65,890.41"
"Wedgworth's, Inc.",F001620,"4,856.81","10,906.20","21,569.37","5,046.85","42,379.23"
Weldon's Chemical LLC,F002121,1.6,5.24,1.17,0.89,8.9
WEST GENEVA COUNTY COOP.,F001894,572.43,451.35,152.69,20.89,"1,197.36"
"WESTWAY FEED PRODUCTS, LLC",F001704,129.16,51.4,157.07,77.98,415.61
Wilbur Ellis Company LLC,F002544,,,19.22,,19.22
"WINFIELD SOLUTIONS, LLC",F001683,852.36,"1,448.01",959.68,842.43,"4,102.48"
WM EarthCare Okeechobee Compost,F002123,"1,123.71","1,478.13","2,704.99","1,849.04","7,155.87"
Woerner Companies,F002628,,,2.08,5.96,8.04
WOODSTREAM CORPORATION,F001432,1.91,2.13,26.24,1.83,32.11
"YARA NORTH AMERICA, INC.",F001106,,,,"2,716.00","2,716.00"
