Licensee,ReportingPlant,Jul.Sep.2019,Oct.Dec .2019,Jan.Mar.2020,Apr.Jun.2020,2019
F002410,"SUL4R-PLUS, LLC",29.02,88,89.61,0,206.63
F000707,"SUN BULB COMPANY, INC",14.71,17.6,22.1,26,80.41
F001971,Sun Gro Horticulture Distribution Inc.,43,72,151,247,513
F002456,"Sunlight Supply, Inc.",70.81,0,0,0,70.81
F000099,SUNNILAND  CORPORATION,"3,834.85","5,723.60","13,254.81","13,694.09","36,507.35"
F002646,SURE CROP,1.35,0,0,0,1.35
F002524,Sustainable Agro Solutions SA,0,0,10.3,0,10.3
F002671,"SustainScape, Inc.",1.75,2.46,1.93,1,7.14
F000689,"SUSTANE NATURAL FERTILIZER, INC.",43.7,24,68,71,206.7
F001305,"SWISS FARMS PRODUCTS, INC.","2,287.98","3,248.67","5,852.45","6,499.30","17,888.40"
F001119,"SYNAGRO-WWT, INC.",237.05,154.41,223.28,72.1,686.84
F000404,"T BRAND FERTILIZER, INC.",166.19,"1,387.42","1,314.23",116.26,"2,984.10"
F002767,TBT TURF SERVICES LLC,30.98,30.98,30.98,5.02,97.96
F002008,Ted Vickers Farms,0,0,2,6,8
F002073,Terra Feed,183,259,242.52,49.88,734.4
F002630,"TerViva, Inc.",0,0,0,0.07,0.07
F000628,"TESSENDERLO KERLEY, INC.",8,6,17,16,47
F002091,"The Andersons, Inc.",242.01,279.83,288.35,253.87,"1,064.06"
F002153,The Hawthorne Gardening Company,3.4,5.71,268.78,173.43,451.32
F002533,"The Organic Mechanics Soil Company, LLC",28,0,28,37,93
F001386,"The Sanctuary, Inc.",0,21,0,0,21
F000643,THE SCOTTS COMPANY,"2,387.64","2,734.08","6,676.72","4,960.81","16,759.25"
F002845,The Yard Stop Garden Center,0,0,2.1,2.1,4.2
F002690,This Land Inc.,1.26,0,0,28,29.26
F002843,TIMAB USA,0,945,623,503,"2,071.00"
F001550,"TIMAC AGRO USA, INC.",65,87,45,48,245
F002004,"Tower Garden, LLC",5.81,5.24,9.79,22.4,43.24
F001486,TRIANGLE CHEMICAL COMPANY,137.93,141,193,257,728.93
F002766,Triangle Plant Sciences,0,0,0,0.09,0.09
F002791,TriYield LLC,0,0,0,6.27,6.27
F002635,True Algae,8.31,26.58,39,24.1,97.99
F002192,"True Organic Products, Inc.",112.54,133.01,181.51,104.94,532
F002644,TURF AID LLC,18,10,10,7,45
F001612,TURF CARE SUPPLY CORP,552,507,"1,005.00",488,"2,552.00"
F001595,TURF CARE SUPPLY CORP.,257,854,378,201,"1,690.00"
F001194,"TURFGRASS MANAGMENT, INC. DBA GRIGG BROS",49.96,27.3,0,0,77.26
F002818,TWC DISTRIBUTORS INC.,0,0,13.38,25.3,38.68
F001685,"U.S. AG, LLC",0,0,0,2,2
F001142,"UAS of America, Inc.",8.92,0.61,15.4,10.18,35.11
F001006,"UNCO INDUSTRIES, INC.",0,14,0,0,14
F002058,United Fertilizer Technologies LLC,1,13,0,4,18
F002769,United Granulation Services,126,357,366,64,913
F000768,UNITED STATES GYPSUM COMPANY,560.77,358.85,285.83,714.3,"1,919.75"
F002574,"Valagro USA, Inc.",25,73,68,52,218
F002331,Verdesian Life Sciences,375.09,245.52,13.79,4.45,638.85
F001151,Vigiron,"1,535.72","2,146.91","2,966.02","1,629.54","8,278.19"
F002511,"Vivid Life Sciences, LLC",0,1.88,5.46,10.73,18.07
F002259,"Vogel Seed & Fertilizer, Inc",6,0,6.83,73.24,86.07
F000370,"VOLUNTARY PURCHASING GROUPS, INC.",105,259,280,150,794
F001607,"WAUKEENAH FERTILIZER & FARM SUPPLY, INC.","1,175.91","2,003.72","1,108.08","1,750.72","6,038.43"
F001622,WEDGWORTH INC,"29,869.08","68,756.69","24,290.27","114,849.12","237,765.16"
F002540,Wedgworth's Inc.,33.29,1.98,0,0,35.27
F002500,Wedgworth''s Inc.,36.21,20.8,50.17,18.99,126.17
F000538,"Wedgworth''s, Inc","11,915.83","12,121.11","24,429.52","24,048.45","72,514.91"
F001620,"Wedgworth''s, Inc.","5,085.05","11,819.39","9,285.82","1,215.07","27,405.33"
F002121,Weldon''s Chemical LLC,2.98,5.63,1.02,0.89,10.52
F001894,WEST GENEVA COUNTY COOP.,615.13,"1,218.34","1,338.87","1,751.82","4,924.16"
F001704,"WESTWAY FEED PRODUCTS, LLC",182.9,168.95,210.64,0,562.49
F001683,"WINFIELD SOLUTIONS, LLC",485.61,896.95,816.45,576.97,"2,775.98"
F002233,WISErg Corporation,0,1.33,0,0,1.33
F002123,WM EarthCare Okeechobee Compost,"1,103.20","2,427.66","2,282.23","1,242.09","7,055.18"
F001432,WOODSTREAM CORPORATION,2,2,1,2,7
F001106,"YARA NORTH AMERICA, INC.",49,78,0,962.12,"1,089.12"
